z_daughter,a_daughter,element_daughter,z_parent,z_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
32,86,Ge,94,239,Pu,0,0.00000026856,0.000000096468,0.00000035361,0.00000012716,,,2024-08-21
32,87,Ge,94,239,Pu,0,0.000000011256,0.0000000040853,0.000000012678,0.0000000045613,,,2024-08-21
32,88,Ge,94,239,Pu,0,0.00000000038505,0.00000000013839,0.00000000038213,0.00000000013606,,,2024-08-21
32,89,Ge,94,239,Pu,0,0.0000000000060116,0.0000000000021872,0.0000000000041471,0.0000000000014713,,,2024-08-21
33,74,As,94,239,Pu,0,0.000000000033046,0.000000000014152,0.0000000000057573,0.000000000002448,,,2024-08-21
33,75,As,94,239,Pu,0,0.000016217,0.0000024488,0.000032523,0.000004976,,,2024-08-21
33,76,As,94,239,Pu,0,0.000000036706,0.000000015175,0.000000012933,0.0000000053887,,,2024-08-21
33,77,As,94,239,Pu,0,0.000076848,0.0000086838,0.00012528,0.000019919,,,2024-08-21
33,78,As,94,239,Pu,0,0.00029128,0.000027664,0.00023525,0.000039027,,,2024-08-21
33,79,As,94,239,Pu,0,0.00054853,0.000091057,0.00042909,0.000076378,,,2024-08-21
33,80,As,94,239,Pu,0,0.00098264,0.00017495,0.00076326,0.00014807,,,2024-08-21
33,81,As,94,239,Pu,0,0.0015818,0.00027828,0.0012707,0.00027462,,,2024-08-21
33,82,As,94,239,Pu,0,0.00062958,0.00015182,0.00077038,0.00020854,,,2024-08-21
33,83,As,94,239,Pu,0,0.0010572,0.00016221,0.0020489,0.00022093,,,2024-08-21
33,84,As,94,239,Pu,0,0.00032586,0.00010819,0.00074099,0.0001543,,,2024-08-21
33,85,As,94,239,Pu,0,0.00030805,0.00010777,0.00063087,0.00017577,,,2024-08-21
33,86,As,94,239,Pu,0,0.00007657,0.000027263,0.0001348,0.000045936,,,2024-08-21
33,87,As,94,239,Pu,0,0.000012985,0.0000047077,0.00002231,0.0000079548,,,2024-08-21
33,88,As,94,239,Pu,0,0.0000012135,0.00000043601,0.000002005,0.00000071331,,,2024-08-21
33,89,As,94,239,Pu,0,0.000000079666,0.000000028983,0.00000010845,0.000000038472,,,2024-08-21
33,90,As,94,239,Pu,0,0.0000000026471,0.00000000097648,0.0000000028022,0.0000000010323,,,2024-08-21
33,91,As,94,239,Pu,0,0.000000000070349,0.000000000024998,0.000000000060374,0.000000000021473,,,2024-08-21
34,74,Se,94,239,Pu,0,0.000000000011236,0.0000000000048118,0.0000000000019575,0.00000000000083231,,,2024-08-21
34,76,Se,94,239,Pu,0,0.000000036741,0.000000015177,0.000000012936,0.0000000053888,,,2024-08-21
34,77,Se,94,239,Pu,0,0.000076849,0.000008684,0.00012528,0.00001992,,,2024-08-21
34,78,Se,94,239,Pu,0,0.00029137,0.000027664,0.00023526,0.000039027,,,2024-08-21
34,79,Se,94,239,Pu,0,0.00054994,0.000091291,0.00042914,0.000076387,,,2024-08-21
34,80,Se,94,239,Pu,0,0.0010068,0.00017871,0.00076917,0.00014853,,,2024-08-21
34,81,Se,94,239,Pu,0,0.0017686,0.0003095,0.0013299,0.00028726,,,2024-08-21
34,82,Se,94,239,Pu,0,0.0023065,0.00041057,0.0022505,0.00054013,,,2024-08-21
34,83,Se,94,239,Pu,0,0.0017115,0.00010868,0.0017024,0.00020441,,,2024-08-21
34,84,Se,94,239,Pu,0,0.004156,0.00018485,0.0047966,0.00034197,,,2024-08-21
34,85,Se,94,239,Pu,0,0.0036452,0.0002671,0.0044588,0.0003929,,,2024-08-21
34,86,Se,94,239,Pu,0,0.002858,0.00039743,0.0040219,0.00044598,,,2024-08-21
34,87,Se,94,239,Pu,0,0.0011936,0.00033384,0.0017539,0.00040935,,,2024-08-21
34,88,Se,94,239,Pu,0,0.00042524,0.00014314,0.00066856,0.00020908,,,2024-08-21
34,89,Se,94,239,Pu,0,0.000075637,0.000027254,0.00010343,0.000035957,,,2024-08-21
34,90,Se,94,239,Pu,0,0.0000098686,0.0000036358,0.000012211,0.0000044868,,,2024-08-21
34,91,Se,94,239,Pu,0,0.00000071522,0.00000025411,0.00000078757,0.00000028006,,,2024-08-21
